ridge_PTM,ridge_IPTM,rf_PTM,rf_IPTM,mlp_PTM,mlp_IPTM
0.7176702,0.16333595,0.7328213333333333,0.2037143333333333,0.72672665,0.1816696
0.74096006,0.23065317,0.731986071428571,0.1892383333333333,0.73890877,0.2061345
0.7374664,0.23343295,0.7383351428571427,0.2207913333333334,0.73435396,0.22716609
0.7245743,0.1806593,0.718369166666666,0.145565,0.72466534,0.17584261
0.72813034,0.19716704,0.7322966666666666,0.1992800000000001,0.73397106,0.20449363
0.67298007,0.5089402,0.6722499999999997,0.4617800000000002,0.6813857,0.47048742
0.741017,0.21527845,0.747235333333333,0.2749526991341991,0.7472595,0.2223421
0.73186177,0.20358098,0.7108599999999988,0.1180249999999999,0.733292,0.19789067
0.67592454,0.58910644,0.6809999999999989,0.6360000000000011,0.6770046,0.6331845
0.7315813,0.21099442,0.7204500000000011,0.1484251666666669,0.73277956,0.24359053
0.7347723,0.2035721,0.7265100000000002,0.1546860000000001,0.7420821,0.21015982
0.7383919,0.22020799,0.7323180555555551,0.2233834523809523,0.7387882,0.20682465
0.6968457,0.6785195,0.69383,0.6321599999999999,0.7065853,0.7226391
0.73400253,0.19986802,0.7336574999999996,0.2288865,0.74158776,0.20267683
0.7438621,0.24973693,0.7303012380952381,0.1927739047619047,0.73970735,0.2375449
0.7308476,0.22819263,0.7247280396825394,0.1935476125541125,0.7319628,0.22423685
0.7325041,0.21249849,0.7382808333333329,0.2312465555555555,0.7352388,0.2205488
0.7212652,0.16541433,0.7268033333333324,0.1761655238095237,0.7349329,0.19996041
0.7115123,0.18220931,0.7366526666666666,0.2391245714285713,0.7197091,0.19024816
0.7160409,0.17944127,0.7303499999999995,0.2832611111111106,0.7214736,0.17561543
0.7256193,0.18061274,0.7230248888888883,0.1725503333333332,0.7276239,0.18439911
0.72285956,0.19478327,0.7333429999999994,0.2320899999999996,0.7356238,0.23308074
0.6974945,0.64349675,0.7019999999999985,0.6559999999999995,0.7007081,0.67218584
0.7353686,0.23282844,0.7281399999999993,0.18106,0.7355783,0.22084284
0.69851995,0.61422,0.67958,0.4965699999999997,0.6991512,0.60272694
0.69858456,0.60645664,0.7060000000000015,0.6629999999999984,0.7048445,0.6735955
0.7291718,0.18037209,0.7429958333333334,0.2427991428571429,0.7378834,0.22231978
0.73179966,0.22873327,0.7338133333333329,0.2263333333333334,0.73517746,0.23675202
0.7357637,0.23714781,0.7303033333333326,0.21649,0.7396308,0.24426019
0.7395029,0.2510705,0.8075657142857139,0.5403837619047618,0.73835975,0.23279004
0.7280125,0.2089315,0.7033028333333335,0.1350453333333333,0.73032624,0.19946717
0.68585986,0.57846844,0.6909099999999998,0.5886499999999999,0.6986408,0.63001335
0.73697805,0.20550555,0.7391799999999996,0.2274649999999998,0.743263,0.21760972
0.7347944,0.21568128,0.7217499999999992,0.1568580000000001,0.7354764,0.22402976
0.67527515,0.25159296,0.7130300000000007,0.3269799999999999,0.6816956,0.288369
0.74409145,0.24470502,0.7317640000000002,0.1947765,0.7440398,0.22090816
0.690036,0.6372152,0.6820000000000008,0.6390000000000012,0.69016635,0.6841242
0.7296903,0.18495694,0.7278200000000002,0.170568619047619,0.73156536,0.22184475
0.68044674,0.5758805,0.6790000000000007,0.5880000000000006,0.6810588,0.5791629
0.72917616,0.20861724,0.7166000000000016,0.1408933333333332,0.730934,0.1882905
